                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4126,                 3.3507,                 1.6275,                0.62595,                 0.7669,                0.73284,                0.52565,                0.75843,                 1.1252,                  1.265,               0.066908,             0.00016629,             0.00016629
                      2,                0.89035,                 1.5718,                 1.2403,                0.78181,                  0.905,                0.95763,                0.80469,                0.49813,                0.65437,                 1.0308,               0.033708,                 0.0003,                 0.0003
                      3,                 0.7851,                 1.1828,                 1.1757,                0.87356,                  0.925,                0.97535,                0.85972,                0.45033,                0.45697,                0.99862,             0.00047577,              0.0004007,              0.0004007
                      4,                 0.7187,                 1.0061,                 1.1263,                0.96124,                0.95472,                0.99232,                0.89135,                0.40646,                0.39112,                0.94501,              0.0003515,              0.0003515,              0.0003515
                      5,                0.67427,                0.89369,                  1.099,                0.94261,                0.94789,                0.98997,                0.90396,                0.37128,                0.35254,                0.92256,               0.000302,               0.000302,               0.000302
                      6,                0.64556,                0.82969,                 1.0778,                0.94452,                0.94998,                0.99221,                0.90709,                0.36042,                0.34492,                0.91677,              0.0002525,              0.0002525,              0.0002525
                      7,                0.62614,                0.79323,                 1.0579,                0.95626,                0.98174,                0.99143,                0.91034,                0.35527,                0.29936,                0.92108,               0.000203,               0.000203,               0.000203
                      8,                 0.5984,                0.74861,                 1.0443,                0.94943,                  0.955,                0.99008,                0.91921,                0.33658,                0.32098,                0.88769,              0.0001535,              0.0001535,              0.0001535
                      9,                0.58672,                0.71147,                 1.0286,                0.98399,                0.96253,                0.99122,                0.90814,                0.35939,                0.27832,                0.92895,               0.000104,               0.000104,               0.000104
                     10,                0.57773,                0.70428,                 1.0281,                0.97681,                   0.98,                0.99305,                0.93107,                0.32767,                0.25397,                0.88392,               5.45e-05,               5.45e-05,               5.45e-05
