                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0391,                 2.0544,                 1.3522,                 0.8667,                0.93818,                0.97522,                0.85747,                 0.4509,                0.49635,                0.95198,               0.070068,              0.0033258,              0.0033258
                      2,                0.90451,                  1.193,                 1.2495,                 0.7746,                0.87359,                0.95651,                0.74987,                0.68306,                0.68495,                 1.1484,               0.039408,              0.0059999,              0.0059999
                      3,                 1.0448,                 1.2797,                 1.3578,                0.88399,                0.92514,                0.94234,                0.62857,                 1.0691,                0.70987,                 1.4243,              0.0080891,               0.008014,               0.008014
                      4,                 1.1194,                 1.3395,                 1.4017,                0.73215,                0.83535,                0.91067,                0.68758,                0.73812,                0.82441,                 1.1517,                0.00703,                0.00703,                0.00703
                      5,                 1.0232,                 1.2172,                 1.3424,                0.89878,                  0.945,                0.97405,                0.75917,                0.74556,                0.54527,                 1.1513,                0.00604,                0.00604,                0.00604
                      6,                 0.9338,                 1.1091,                 1.2688,                0.86947,                0.92485,                0.96164,                0.76584,                0.67851,                0.53911,                 1.1713,                0.00505,                0.00505,                0.00505
                      7,                0.87424,                 1.0289,                 1.2351,                0.96948,                0.97607,                0.98965,                0.82789,                0.56934,                0.41444,                 1.0405,                0.00406,                0.00406,                0.00406
                      8,                0.80134,                0.93166,                  1.182,                0.97745,                0.97934,                0.99286,                0.86956,                0.48004,                 0.3565,                0.99316,                0.00307,                0.00307,                0.00307
                      9,                0.73778,                0.84416,                 1.1375,                0.98386,                   0.99,                0.99102,                0.89847,                0.42981,                0.30181,                 0.9487,                0.00208,                0.00208,                0.00208
                     10,                0.68747,                0.77741,                 1.1079,                0.97486,                  0.986,                0.99424,                0.90412,                0.40602,                0.28869,                0.96026,                0.00109,                0.00109,                0.00109
