                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1411,                 6.0553,                 2.4377,                0.03169,                   0.02,                 0.0096,                 0.0016,                 3.7102,                  3.761,                 4.2149,               0.078022,                2.2e-05,                2.2e-05
                      2,                 1.6781,                 1.5521,                 1.9938,                0.76699,                0.52668,                0.62364,                0.29403,                 2.0071,                 1.6324,                 2.0763,               0.055041,             4.0545e-05,             4.0545e-05
                      3,                 1.4945,                 1.3801,                 1.8099,                0.77998,                0.53177,                 0.6326,                0.41746,                 1.3693,                 1.5362,                 1.7238,               0.032055,             5.4536e-05,             5.4536e-05
                      4,                 1.4588,                  1.306,                 1.7746,                0.84075,                   0.53,                0.69054,                0.45485,                  1.313,                 1.3739,                 1.6416,               0.009064,             6.3973e-05,             6.3973e-05
                      5,                 1.3228,                  1.192,                 1.6363,                0.82999,                0.58588,                0.72428,                0.48736,                 1.1676,                 1.2661,                 1.5246,               6.04e-05,               6.04e-05,               6.04e-05
                      6,                 1.2767,                 1.1745,                 1.5756,                0.94494,                   0.54,                0.73432,                0.51277,                  1.084,                0.97774,                 1.4218,               5.05e-05,               5.05e-05,               5.05e-05
                      7,                 1.2135,                 1.0945,                 1.5402,                 0.9004,                   0.53,                0.71428,                0.50419,                   1.11,                0.90971,                 1.4117,               4.06e-05,               4.06e-05,               4.06e-05
                      8,                 1.2438,                  1.084,                 1.5648,                0.94119,                   0.53,                0.73326,                0.52087,                 1.0881,                0.86481,                 1.3991,               3.07e-05,               3.07e-05,               3.07e-05
                      9,                 1.1472,                 1.0521,                  1.509,                0.96235,                   0.54,                0.74524,                0.51555,                 1.0554,                0.86585,                 1.3683,               2.08e-05,               2.08e-05,               2.08e-05
                     10,                 1.0798,                0.98825,                 1.4506,                0.90048,                   0.53,                  0.741,                0.52336,                 1.0286,                0.85841,                 1.3565,               1.09e-05,               1.09e-05,               1.09e-05
