                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1308,                 36.403,                 3.3747,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                 0.0885,                 0.0115,                 0.0115
                      2,                   2.53,                 4.1971,                 3.1158,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.074174,               0.021174,               0.021174
                      3,                 2.5106,                 4.0354,                 2.9705,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.057471,               0.028471,               0.028471
                      4,                 2.5289,                 3.9949,                 2.9204,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.038392,               0.033393,               0.033393
                      5,                 2.5565,                 3.8828,                 2.9808,                0.00255,                   0.76,                0.00747,                 0.0017,                    nan,                    nan,                    nan,                 0.0302,                 0.0302,                 0.0302
                      6,                 2.4858,                 3.5299,                 2.9556,                0.00694,                   0.67,                0.04249,                0.00873,                 2.6735,                 3.8926,                 2.9682,                0.02525,                0.02525,                0.02525
                      7,                 2.5048,                 3.1921,                 2.9699,                0.50511,                   0.33,                0.05331,                0.01158,                 2.5125,                 3.1406,                 2.9035,                 0.0203,                 0.0203,                 0.0203
                      8,                  2.528,                  3.009,                 2.9712,                0.00314,                   0.93,                0.04908,                0.01018,                 2.4386,                 4.4015,                 3.0396,                0.01535,                0.01535,                0.01535
                      9,                 2.5073,                 2.9679,                 2.9882,                0.02136,                   0.82,                 0.0798,                 0.0204,                 2.3756,                 3.3241,                 2.9311,                 0.0104,                 0.0104,                 0.0104
                     10,                 2.5025,                 2.8775,                 2.9973,                0.00935,                   0.97,                0.09713,                0.02137,                 2.4305,                 2.8473,                 2.8902,                0.00545,                0.00545,                0.00545
