                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6824,                 4.6338,                 2.7257,                0.00061,                   0.23,                0.00072,                0.00018,                 3.3467,                 4.1269,                 3.9237,               0.077023,                2.3e-05,                2.3e-05
                      2,                 2.2812,                 3.0806,                 2.3901,                0.00338,                   0.54,                 0.0091,                0.00155,                  2.966,                 3.7586,                 3.2735,               0.053045,             4.5449e-05,             4.5449e-05
                      3,                 2.1679,                 2.8195,                 2.3141,                0.18902,                   0.09,                0.11427,                0.02686,                 2.4921,                 2.8101,                 2.7256,               0.029066,             6.6314e-05,             6.6314e-05
                      4,                 2.1494,                 2.8186,                 2.3572,                0.24219,                   0.27,                0.19958,                0.03958,                 2.4548,                 2.5564,                 2.7154,              0.0050856,             8.5595e-05,             8.5595e-05
                      5,                 2.0767,                 2.6846,                 2.3156,                0.13746,                   0.35,                0.13148,                0.03178,                 2.4264,                 2.5328,                 2.7876,               8.68e-05,               8.68e-05,               8.68e-05
                      6,                 2.0503,                 2.5654,                 2.2976,                0.20078,                   0.33,                0.15929,                0.04074,                 2.4492,                  2.593,                 2.9158,               8.35e-05,               8.35e-05,               8.35e-05
                      7,                  2.116,                 2.5649,                 2.2779,                0.22182,                   0.46,                 0.2094,                 0.0476,                 2.5125,                 2.4997,                 2.8323,               8.02e-05,               8.02e-05,               8.02e-05
                      8,                 2.1053,                 2.5459,                 2.2965,                0.32155,                 0.4286,                0.26376,                0.06244,                 2.4664,                  2.289,                 2.6675,               7.69e-05,               7.69e-05,               7.69e-05
                      9,                 2.0274,                 2.4742,                 2.2349,                0.26697,                0.51596,                0.26339,                 0.0692,                 2.4306,                 2.3718,                 2.6107,               7.36e-05,               7.36e-05,               7.36e-05
                     10,                 2.0687,                   2.48,                 2.2715,                0.28596,                   0.38,                 0.2327,                0.05112,                  2.388,                 2.5047,                 2.7056,               7.03e-05,               7.03e-05,               7.03e-05
                     11,                 2.0905,                  2.543,                 2.2774,                0.23272,                   0.42,                0.23155,                 0.0491,                 2.3571,                 2.5937,                 2.6843,                6.7e-05,                6.7e-05,                6.7e-05
                     12,                 1.9764,                 2.5058,                 2.2036,                0.23102,                   0.34,                0.19458,                0.04546,                 2.3664,                  2.576,                  2.711,               6.37e-05,               6.37e-05,               6.37e-05
                     13,                 2.0018,                 2.4188,                 2.2395,                0.33495,                0.43057,                  0.271,                0.06287,                 2.3001,                 2.5373,                 2.6342,               6.04e-05,               6.04e-05,               6.04e-05
                     14,                 1.9686,                 2.3922,                 2.2124,                0.25943,                    0.5,                0.27817,                0.06435,                 2.3066,                 2.5219,                 2.6266,               5.71e-05,               5.71e-05,               5.71e-05
                     15,                 1.9641,                 2.4173,                 2.1915,                0.20916,                   0.49,                 0.2079,                0.04563,                 2.3302,                  2.561,                 2.6853,               5.38e-05,               5.38e-05,               5.38e-05
                     16,                 1.9563,                 2.3513,                 2.1874,                0.17639,                    0.5,                0.16685,                0.03836,                  2.302,                 2.5517,                 2.7379,               5.05e-05,               5.05e-05,               5.05e-05
                     17,                 1.9383,                 2.4105,                 2.1887,                 0.1791,                   0.35,                0.15298,                0.03709,                 2.3311,                 2.6176,                 2.7312,               4.72e-05,               4.72e-05,               4.72e-05
                     18,                 1.9495,                 2.3866,                 2.2244,                0.18128,                   0.32,                0.13595,                 0.0356,                 2.3522,                 2.6073,                 2.7434,               4.39e-05,               4.39e-05,               4.39e-05
                     19,                 1.9221,                 2.3543,                 2.1832,                0.19768,                   0.37,                0.16217,                0.04151,                 2.3012,                 2.5086,                 2.7128,               4.06e-05,               4.06e-05,               4.06e-05
                     20,                 1.8836,                 2.3663,                 2.1519,                0.28396,                   0.32,                0.20718,                0.05338,                 2.3114,                  2.454,                  2.693,               3.73e-05,               3.73e-05,               3.73e-05
                     21,                 2.2441,                 2.3929,                 2.5541,                0.24075,                   0.34,                0.19172,                 0.0446,                 2.3827,                 2.6226,                 2.7795,                3.4e-05,                3.4e-05,                3.4e-05
                     22,                 2.1519,                 2.3252,                 2.4848,                0.22549,                   0.28,                0.19271,                 0.0512,                 2.2751,                 2.5086,                 2.6985,               3.07e-05,               3.07e-05,               3.07e-05
                     23,                 2.1166,                 2.2471,                 2.4857,                0.24394,                   0.34,                0.21252,                0.05524,                 2.2416,                 2.4563,                 2.6997,               2.74e-05,               2.74e-05,               2.74e-05
                     24,                 2.1084,                 2.2391,                 2.4853,                0.30038,                   0.36,                0.23332,                0.05685,                  2.244,                 2.4852,                 2.7326,               2.41e-05,               2.41e-05,               2.41e-05
                     25,                 2.1006,                 2.2641,                 2.4963,                0.30366,                0.31687,                0.24604,                0.06319,                 2.2708,                 2.4321,                 2.7416,               2.08e-05,               2.08e-05,               2.08e-05
                     26,                 2.0816,                 2.3504,                 2.4571,                0.31721,                0.35219,                0.24559,                0.06102,                 2.2525,                 2.4103,                 2.6894,               1.75e-05,               1.75e-05,               1.75e-05
                     27,                 2.1564,                 2.3012,                 2.5349,                0.39197,                   0.38,                0.28126,                0.06885,                 2.2774,                 2.3786,                 2.7156,               1.42e-05,               1.42e-05,               1.42e-05
                     28,                 2.0602,                 2.1529,                 2.4516,                0.43098,                   0.37,                0.29528,                0.06884,                 2.3031,                 2.3729,                 2.7217,               1.09e-05,               1.09e-05,               1.09e-05
                     29,                 2.0152,                 2.2083,                 2.4478,                0.39721,                0.36592,                 0.2942,                0.07051,                   2.31,                 2.3675,                 2.7134,                7.6e-06,                7.6e-06,                7.6e-06
                     30,                  1.981,                 2.1566,                 2.4113,                 0.3341,                   0.35,                0.27558,                0.06894,                 2.3192,                 2.3643,                 2.7186,                4.3e-06,                4.3e-06,                4.3e-06
