                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5999,                 4.8029,                 1.9312,                0.33722,                   0.37,                0.30196,                0.07428,                 2.7799,                 3.0043,                 2.9291,               0.079021,                2.1e-05,                2.1e-05
                      2,                0.90268,                 1.4413,                 1.3152,                0.28951,                   0.54,                0.34178,                0.15165,                 1.9769,                 1.7209,                 2.2034,               0.057039,             3.8743e-05,             3.8743e-05
                      3,                 0.7742,                0.98053,                 1.2107,                0.75887,                0.80669,                0.81747,                0.60746,                 1.0693,                 1.0212,                 1.5457,               0.035052,              5.213e-05,              5.213e-05
                      4,                0.67799,                0.72568,                 1.1371,                0.87397,                0.89562,                0.93282,                0.75805,                0.57981,                0.59496,                 1.0827,               0.013061,             6.1161e-05,             6.1161e-05
                      5,                0.64604,                0.61524,                 1.0913,                0.81137,                0.88223,                0.94471,                 0.7827,                 0.5485,                0.71861,                 1.0504,               6.04e-05,               6.04e-05,               6.04e-05
                      6,                0.64497,                0.54422,                 1.0969,                0.94683,                   0.97,                0.98406,                0.83096,                0.56617,                 0.4154,                 1.0759,               5.05e-05,               5.05e-05,               5.05e-05
                      7,                 0.6009,                0.47834,                 1.0846,                0.94959,                   0.98,                0.98301,                0.80968,                0.55004,                0.39353,                 1.0573,               4.06e-05,               4.06e-05,               4.06e-05
                      8,                0.59587,                0.48423,                 1.0882,                0.93611,                0.98302,                0.98207,                0.83106,                0.49679,                0.37827,                 1.0406,               3.07e-05,               3.07e-05,               3.07e-05
                      9,                0.56367,                0.43168,                 1.0644,                0.95488,                0.96415,                0.97874,                0.82931,                0.50277,                0.36165,                 1.0503,               2.08e-05,               2.08e-05,               2.08e-05
                     10,                0.55728,                0.41769,                 1.0587,                 0.9423,                0.97522,                0.97842,                0.83212,                0.51521,                 0.3524,                 1.0539,               1.09e-05,               1.09e-05,               1.09e-05
